Date,Close/Last,Volume,Open,High,Low
06/17/2014,4337.23,--,4316.01,4346.12,4311.15
06/16/2014,4321.11,--,4303.93,4326.89,4296.26
06/13/2014,4310.65,--,4315.31,4317.67,4288.41
06/12/2014,4297.63,--,4323.11,4328.35,4284.53
06/11/2014,4331.93,--,4322.92,4338.21,4315.49
06/10/2014,4338.00,--,4329.20,4338.87,4319.93
06/09/2014,4336.24,--,4324.35,4346.74,4320.28
06/06/2014,4321.40,--,4312.76,4322.51,4305.74
06/05/2014,4296.23,--,4259.12,4299.50,4241.68
06/04/2014,4251.64,--,4222.21,4256.19,4216.23
06/03/2014,4234.08,--,4222.04,4240.35,4215.80
06/02/2014,4237.20,--,4247.96,4247.96,4207.61
05/30/2014,4242.62,--,4251.49,4252.08,4221.95
05/29/2014,4247.95,--,4238.04,4247.95,4228.96
05/28/2014,4225.07,--,4234.96,4238.17,4216.89
05/27/2014,4237.07,--,4206.43,4237.07,4204.72
05/26/2014,4185.81,--,0.00,0.00,0.00
